time,tavg,tmin,tmax,prcp,season
18-06-1990,34.6,29.9,41.0,,summer
19-06-1990,32.1,,41.0,0.0,summer
20-06-1990,32.6,26.0,38.3,0.0,summer
21-06-1990,34.2,29.9,39.7,0.0,summer
22-06-1990,32.3,,38.9,,summer
23-06-1990,35.0,27.0,38.5,0.0,summer
24-06-1990,35.2,33.0,38.9,0.0,summer
25-06-1990,35.5,32.6,38.8,0.0,summer
26-06-1990,35.6,,40.4,0.0,summer
27-06-1990,31.8,25.3,37.1,31.8,summer
28-06-1990,30.9,26.4,36.0,0.3,summer
29-06-1990,32.9,28.6,37.3,0.0,summer
30-06-1990,30.2,,36.6,,summer
01-07-1990,27.2,,29.8,,summer
02-07-1990,28.4,25.7,34.1,0.0,summer
03-07-1990,28.9,,33.6,,summer
04-07-1990,27.9,26.1,30.4,,summer
05-07-1990,27.8,25.7,30.7,,summer
06-07-1990,28.6,25.6,31.0,1.0,summer
07-07-1990,31.1,27.4,34.5,0.0,summer
08-07-1990,28.7,,30.5,,summer
09-07-1990,28.7,26.7,30.5,,summer
10-07-1990,30.0,27.2,34.1,0.0,summer
11-07-1990,30.9,27.4,35.4,0.0,summer
12-07-1990,31.5,27.3,35.9,0.0,summer
13-07-1990,32.8,,36.9,0.0,summer
14-07-1990,32.6,,37.4,0.0,summer
15-07-1990,29.8,28.6,32.5,0.0,summer
16-07-1990,31.6,28.1,36.0,0.0,summer
17-07-1990,31.7,28.1,36.5,0.0,summer
18-07-1990,30.1,,37.0,,summer
19-07-1990,27.9,24.5,33.3,,summer
20-07-1990,28.5,25.3,34.2,3.0,summer
21-07-1990,30.2,25.6,33.1,0.0,summer
22-07-1990,31.3,27.5,36.1,0.0,summer
23-07-1990,28.1,25.2,31.0,3.8,summer
24-07-1990,30.8,26.0,35.0,9.4,summer
25-07-1990,32.2,,36.0,0.0,summer
26-07-1990,32.1,28.2,35.7,,summer
27-07-1990,27.4,,32.8,6.1,summer
28-07-1990,28.9,23.1,34.0,48.0,summer
29-07-1990,31.6,,35.6,0.0,summer
30-07-1990,29.7,27.1,,0.5,summer
31-07-1990,30.7,26.8,33.6,4.3,summer
01-08-1990,31.9,28.6,36.5,0.0,summer
02-08-1990,28.0,23.4,31.2,55.1,summer
03-08-1990,31.3,27.2,35.2,14.7,summer
04-08-1990,29.2,27.4,33.2,0.0,summer
05-08-1990,28.3,26.1,32.4,1.8,summer
06-08-1990,30.7,26.4,34.4,3.8,summer
07-08-1990,29.0,,32.4,0.0,summer
08-08-1990,29.7,26.4,34.9,0.0,summer
09-08-1990,28.8,,33.1,,summer
10-08-1990,28.7,26.3,32.2,,summer
11-08-1990,27.7,26.4,34.0,,summer
12-08-1990,31.1,26.1,35.0,,summer
13-08-1990,27.8,,31.0,9.9,summer
14-08-1990,28.6,25.2,32.7,2.5,summer
15-08-1990,29.7,26.0,33.8,0.0,summer
